Name,2022 Population,Population Rank
Kayamkulam,"757,000",78
Belgaum,"752,000",79
Malegaon,"748,000",80
Mangalore,"736,000",81
Tirupati,"729,000",82
Bhavnagar,"724,000",83
Nanded Waghala,"722,000",84
Jammu,"717,000",85
Kurnool,"706,000",86
Gulbarga,"703,000",87
Durgapur,"699,000",88
Jhansi,"666,000",89
Erode,"662,000",90
Jamnagar,"659,000",91
Bokaro Steel City,"652,000",92
Raurkela,"641,000",93
Kolhapur,"635,000",94
Patiala,"634,000",95
Bilaspur,"633,000",96
Ajmer,"630,000",97
Ujjain,"629,000",98
Mathura,"618,000",99
Agartala,"615,000",100
Imphal,"611,000",101
Sangli,"602,000",102
Tuticorin,"595,000",103
Udaipur,"592,000",104
Vellore,"590,000",105
Jalgaon,"589,000",106
Gaya,"587,000",107
Tirunelveli,"583,000",108
Panipat,"572,000",109
Hosur,"562,000",110
Rajahmundry,"561,000",111
Bellary,"546,000",112
Kakinada,"532,000",113
Davanagere,"530,000",114
Muzaffarpur,"529,000",115
Begusarai,"520,000",116
Purnia,"515,000",117
Latur,"502,000",118
Bhagalpur,"496,000",119
Rohtak,"488,000",120
Shillong,"484,000",121
Anantapur,"474,000",122
Bhilwara,"474,000",123
Yamunanagar,"467,000",124
Kadapa,"466,000",125
Akola,"459,000",126
Sagar,"454,000",127
Raniganj,"453,000",128
English Bazar,"452,000",129
Hardwar,"452,000",130
Alwar,"450,000",131
Rampur,"444,000",132
Bijapur,"434,000",133
Korba,"431,000",134
Baharampur,"430,000",135
Barddhaman,"430,000",136
Dhulian,"430,000",137
Karnal,"425,000",138
Gandhidham,"422,000",139
Brahmapur,"421,000",140
Dhule,"420,000",141
Ottappalam,"420,000",142
Karimnagar,"418,000",143
Junagadh,"415,000",144
Ahmadnagar,"412,000",145
Dindigul,"407,000",146
Anand,"391,000",147
Bihar Sharif,"391,000",148
Aizawl,"387,000",149
Bathinda,"387,000",150
Shimoga,"387,000",151
Palakkad,"385,000",152
Santipur,"385,000",153
Deoghar,"384,000",154
Shahjahanpur,"382,000",155
Roorkee,"380,000",156
Ichalkaranji,"378,000",157
Ranipet,"377,000",158
Maunath Bhanjan,"376,000",159
Tumkur,"375,000",160
Parbhani,"372,000",161
Dewas,"371,000",162
Karur,"371,000",163
Morvi,"368,000",164
Hisar,"366,000",165
Kanhangad,"365,000",166
Darbhanga,"362,000",167
Chandrapur,"361,000",168
Habra,"360,000",169
Satna,"358,000",170
Farrukhabad,"357,000",171
Khammam,"356,000",172
Jalna,"354,000",173
Navsari,"352,000",174
Haldwani-cum-kathgodam,"351,000",175
Thanjavur,"348,000",176
Arrah,"345,000",177
Nizamabad,"341,000",178
Kharagpur,"335,000",179
Hapur,"334,000",180
Ratlam,"327,000",181
Karimnagar,"228,745",182
Puducherry,"227,411",183
Shrirampur,"226,317",184
Raichur,"225,962",185
Quthbullapur,"225,816",186
Karnal,"225,049",187
Arrah,"223,676",188
Imphal,"223,523",189
Gosaba,"222,764",190
Mirzapur,"220,029",191
Kharagpur,"219,665",192
Dhanbad,"219,636",193
Tanjore,"219,571",194
Amarnath,"217,780",195
Nagercoil,"213,858",196
Pali,"210,103",197
Yamunanagar,"208,931",198
Rewa,"208,461",199
Secunderabad,"204,182",200
Bidar,"204,071",201
Agartala,"203,264",202
Monghyr,"203,163",203
Burhanpur,"202,695",204
Nadiad,"202,067",205
Chapra,"201,597",206
Dindigul,"200,797",207
Panchkula,"200,000",208
Sikar,"199,932",209
Bulandshahr,"198,612",210
Purnia,"198,453",211
Hospet,"197,846",212
Gurgaon,"197,340",213
Sambhal,"196,109",214
Gandhinagar,"195,985",215
Murwara,"195,856",216
Nangloi Jat,"194,363",217
Machilipatnam,"192,827",218
Katihar,"192,555",219
Bhiwani,"190,855",220
Kultali,"187,942",221
Raebareli,"186,433",222
Haridwar,"186,079",223
Singrauli,"185,580",224
Junagadh,"184,447",225
Sujangarh,"183,808",226
Ellore,"183,387",227
Bhusaval,"183,001",228
Khandwa,"182,841",229
Bahraigh,"182,218",230
Sirsa,"181,639",231
Chandannagar,"180,623",232
Baharampur,"180,547",233
Surendranagar,"179,628",234
Vizianagaram,"179,358",235
Proddatur,"177,797",236
Vellore,"177,081",237
Hugli,"177,005",238
Alleppey,"176,783",239
Amroha,"176,253",240
Tambaram,"174,787",241
Pathankot,"174,306",242
Bhind,"174,035",243
Shimla,"173,503",244
Ongole,"172,872",245
Gadag-Betageri,"172,813",246
Puri,"170,841",247
Haldia,"170,695",248
Khammam,"170,503",249
Raiganj,"170,252",250
Ingraj Bazar,"170,039",251
Jaunpur,"169,572",252
Fatehpur,"166,480",253
Gandhidham,"166,388",254
Nandyal,"165,337",255
Udupi,"165,000",256
Loni,"164,810",257
Sitapur,"164,435",258
Shivpuri,"164,215",259
Bhadravati,"163,903",260
Adoni,"163,631",261
Veraval,"163,326",262
Sambalpur,"162,887",263
Gadag,"162,569",264
Unnao,"161,671",265
Budaun,"161,555",266
Jind,"161,260",267
Madhyamgram,"161,126",268
Jamuria,"160,242",269
Jaigaon,"158,664",270
Cuddalore,"158,569",271
Orai,"158,265",272
Hoshiarpur,"158,142",273
Pallavaram,"157,145",274
Hanumangarh,"155,687",275
Kanchipuram,"155,029",276
Alandur,"153,775",277
Guna,"153,689",278
Bahadurgarh,"153,613",279
Bharuch,"153,528",280
Medinipur,"153,349",281
Fyzabad,"153,047",282
Dinapore,"152,940",283
Silchar,"152,393",284
Banda,"152,218",285
Morena,"152,004",286
Tonk,"151,331",287
Raj-Nandgaon,"150,755",288
Serilingampalle,"150,525",289
Virar,"150,357",290
Malkajgiri,"150,000",291
Shantipur,"149,983",292
Barakpur,"148,174",293
Erode,"147,270",294
Ambala,"146,787",295
Krishnanagar,"145,926",296
Saharsa,"145,764",297
Batala,"145,468",298
Bhimavaram,"142,967",299
Balurghat,"141,404",300
Kaithal,"140,604",301
Lakhimpur,"140,223",302
Hazaribagh,"140,063",303
Vidisha,"140,045",304
Haldwani,"139,497",305
Habra,"139,297",306
Kumbakonam,"139,264",307
Porbandar,"138,872",308
Chitradurga,"138,587",309
Thanesar,"138,279",310
Tiruvannamalai,"138,243",311
Anand,"138,009",312
Kanchrapara,"136,954",313
Mahbubnagar,"136,135",314
Dimapur,"135,860",315
Robertsonpet,"135,218",316
Chhindwara,"134,847",317
Mandya,"134,845",318
Bankura,"133,966",319
Hajipur,"133,606",320
Gonda City,"133,583",321
Bhuj,"133,459",322
Hindupur,"133,298",323
Shillong,"132,842",324
Palghat,"132,728",325
Godhra,"131,913",326
Kishangarh,"131,749",327
Raniganj,"131,261",328
Pilibhit,"131,008",329
Beawar,"130,777",330
Abohar,"130,603",331
Moga,"130,549",332
Dehri,"129,938",333
Deoria,"129,570",334
Hassan,"128,531",335
Khardah,"128,346",336
Yavatmal,"128,175",337
Halisahar,"128,172",338
Panvel,"128,046",339
Titagarh,"127,751",340
Cuddapah,"127,010",341
Bettiah,"127,008",342
Hathras,"126,882",343
Lalitpur,"126,475",344
Kolar,"126,441",345
Mandsaur,"124,988",346
Gondia,"124,897",347
Rajapalaiyam,"124,168",348
Darjiling,"123,797",349
Mohali,"123,484",350
Palanpur,"123,294",351
Dam Dam,"122,719",352
Hardoi,"122,635",353
Puruliya,"122,533",354
Dibrugarh,"122,155",355
Palwal,"121,965",356
Nalgonda,"121,826",357
Bhadreswar,"121,662",358
Vejalpur,"121,610",359
Chikmagalur,"121,484",360
Raigarh,"121,278",361
Guntakal Junction,"120,964",362
Gangapur,"120,115",363
Deoli,"120,000",364
Siwan,"119,181",365
Damoh,"118,776",366
Adilabad,"118,526",367
Chicacole,"118,299",368
Uppal Kalan,"118,259",369
Jetpur,"118,068",370
Morbi,"118,022",371
Patan,"117,863",372
Khanna,"117,137",373
Botad,"117,053",374
Rishra,"117,014",375
Azamgarh,"116,644",376
Yelahanka,"116,447",377
Gudivada,"116,161",378
Baidyabati,"115,504",379
Basti,"115,115",380
Balasore,"114,321",381
Dharmavaram,"114,050",382
Maler Kotla,"113,840",383
Wardha,"113,759",384
Jhunjhunun,"113,193",385
Satara,"112,793",386
Chanduasi,"112,635",387
Mothihari,"112,144",388
Chas,"112,141",389
Pudukkottai,"112,118",390
Rewari,"112,079",391
Port Blair,"112,050",392
Suriapet,"111,729",393
Bangaon,"111,693",394
Chhatarpur,"111,594",395
Ashoknagar Kalyangarh,"111,475",396
Achalpur,"111,278",397
Navadwip,"111,123",398
Barsi,"110,983",399
